Titulo,Enlace
MENU,#
Inicio,https://www.mineduc.cl
Ministerio►,#
Ministerio,https://www.mineduc.cl/ministerio/
Ministro de Educación,https://www.mineduc.cl/ministerio/ministro-de-educacion/
Subsecretaria de Educación Parvularia,https://www.mineduc.cl/ministerio/subsecretaria-educacion-parvularia/
Subsecretaria de Educación,https://www.mineduc.cl/ministerio/subsecretaria-de-educacion/
Subsecretario de Educación Superior,https://www.mineduc.cl/ministerio/subsecretario-de-educacion-superior/
Secretarías Regionales Ministeriales (SEREMI),https://www.mineduc.cl/ministerio/seremi/
Departamentos Provinciales,https://www.mineduc.cl/ministerio/departamentos-provinciales/
Cosoc,https://www.mineduc.cl/ministerio/cosoc/
Organigrama,https://www.mineduc.cl/organigrama/mineduc/
Misión,https://www.mineduc.cl/ministerio/mision/
Trabaje con Nosotros,https://www.mineduc.cl/trabaje-con-nosotros/
Servicios y Trámites►,#
Servicios y Trámites,https://www.mineduc.cl/servicios/
Entidades Relacionadas,https://www.mineduc.cl/servicios/entidades-relacionadas/
Información sobre educación,https://www.mineduc.cl/servicios/informacion-sobre-educacion/
Trámites Subsecretaría de Educación,https://www.mineduc.cl/servicios/tramites-subsecretaria-de-educacion/
Trámites Subsecretaría de Educación Superior,https://www.mineduc.cl/servicios/tramites-subsecretaria-de-educacion-superior/
Regiones►,#
Regiones,#
Región de Arica y Parinacota,https://arica.mineduc.cl
Región de Tarapacá,https://tarapaca.mineduc.cl
Región de Antofagasta,https://antofagasta.mineduc.cl
Región de Atacama,https://atacama.mineduc.cl
Región de Coquimbo,https://coquimbo.mineduc.cl
Región de Valparaíso,https://valparaiso.mineduc.cl
Región Metropolitana,https://metropolitana.mineduc.cl
Región del Libertador General Bernardo O’Higgins,https://ohiggins.mineduc.cl
Región del Maule,https://maule.mineduc.cl
Región de Ñuble,http://xn--uble-fqa.mineduc.cl/
Región del Biobío,https://biobio.mineduc.cl
Región de la Araucanía,https://araucania.mineduc.cl
Región de Los Ríos,https://losrios.mineduc.cl
Región de Los Lagos,https://loslagos.mineduc.cl
Región de Aysén del General Carlos Ibáñez del Campo,https://aysen.mineduc.cl
Región de Magallanes y Antártica Chilena,https://magallanes.mineduc.cl
Etapas Educativas►,#
Etapas Educativas,#
Educación Parvularia,https://parvularia.mineduc.cl/
Educación Escolar,http://escolar.mineduc.cl
Educación Técnico Profesional,http://www.tecnicoprofesional.mineduc.cl/
Educación Superior,https://divesup.mineduc.cl/
Educación de Personas Jóvenes y Adultas,https://epja.mineduc.cl/
Comunidad Educativa,http://www.comunidadescolar.cl
A un Click►,#
A un Click,#
Acceso,https://acceso.mineduc.cl
Curriculum Nacional,https://www.curriculumnacional.cl/portal/
Biblioteca Digital Escolar,https://bdescolar.mineduc.cl
Convivencia Escolar,http://convivenciaescolar.mineduc.cl
CPEIP,https://www.cpeip.cl
Sustentabilidad y Cambio Climático,https://sustentabilidad.mineduc.cl/
FUAS – Beneficios Estudiantiles,http://fuas.cl
SAE – Sistema de Admisión Escolar,https://www.sistemadeadmisionescolar.cl
Subsecretaría de Educación,https://subeduc.mineduc.cl/
Premios Nacionales 2025,https://premiosnacionales.mineduc.cl/
Ministerio de Educación,https://www.mineduc.cl
,https://www.mineduc.cl
Facebook,http://www.facebook.com/mineduc
Twitter,https://twitter.com/mineduc
youtube,https://www.youtube.com/user/mineducchile
Flickr,http://www.flickr.com/photos/mineduc
Instagram,https://www.instagram.com/mineducchile
spotify,https://open.spotify.com/user/vtvvyuc54v62f3rv33avjy53t?si=c02945808594466f
Atención Ciudadana Ayuda Mineduc,https://www.ayudamineduc.cl
Intranet,http://intranet.mineduc.cl/
,https://www.portaltransparencia.cl/PortalPdT/pdtta?codOrganismo=AJ001
,https://www.portaltransparencia.cl/PortalPdT/pdtta?codOrganismo=AJ014
,https://www.portaltransparencia.cl/PortalPdT/pdtta/-/ta/AJ025
,https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=AJ001
Inicio,https://www.mineduc.cl
Ministerio,https://www.mineduc.cl/ministerio/
Ministro de Educación,https://www.mineduc.cl/ministerio/ministro-de-educacion/
Subsecretaria de Educación Parvularia,https://www.mineduc.cl/ministerio/subsecretaria-educacion-parvularia/
Subsecretaria de Educación,https://www.mineduc.cl/ministerio/subsecretaria-de-educacion/
Subsecretario de Educación Superior,https://www.mineduc.cl/ministerio/subsecretario-de-educacion-superior/
Secretarías Regionales Ministeriales (SEREMI),https://www.mineduc.cl/ministerio/seremi/
Departamentos Provinciales,https://www.mineduc.cl/ministerio/departamentos-provinciales/
Cosoc,https://www.mineduc.cl/ministerio/cosoc/
Organigrama,https://www.mineduc.cl/organigrama/mineduc/
Misión,https://www.mineduc.cl/ministerio/mision/
Trabaje con Nosotros,https://www.mineduc.cl/trabaje-con-nosotros/
Servicios y Trámites,https://www.mineduc.cl/servicios/
Entidades Relacionadas,https://www.mineduc.cl/servicios/entidades-relacionadas/
Información sobre educación,https://www.mineduc.cl/servicios/informacion-sobre-educacion/
Trámites Subsecretaría de Educación,https://www.mineduc.cl/servicios/tramites-subsecretaria-de-educacion/
Trámites Subsecretaría de Educación Superior,https://www.mineduc.cl/servicios/tramites-subsecretaria-de-educacion-superior/
Regiones,#
Región de Arica y Parinacota,https://arica.mineduc.cl
Región de Tarapacá,https://tarapaca.mineduc.cl
Región de Antofagasta,https://antofagasta.mineduc.cl
Región de Atacama,https://atacama.mineduc.cl
Región de Coquimbo,https://coquimbo.mineduc.cl
Región de Valparaíso,https://valparaiso.mineduc.cl
Región Metropolitana,https://metropolitana.mineduc.cl
Región del Libertador General Bernardo O’Higgins,https://ohiggins.mineduc.cl
Región del Maule,https://maule.mineduc.cl
Región de Ñuble,http://xn--uble-fqa.mineduc.cl/
Región del Biobío,https://biobio.mineduc.cl
Región de la Araucanía,https://araucania.mineduc.cl
Región de Los Ríos,https://losrios.mineduc.cl
Región de Los Lagos,https://loslagos.mineduc.cl
Región de Aysén del General Carlos Ibáñez del Campo,https://aysen.mineduc.cl
Región de Magallanes y Antártica Chilena,https://magallanes.mineduc.cl
Etapas Educativas,#
Educación Parvularia,https://parvularia.mineduc.cl/
Educación Escolar,http://escolar.mineduc.cl
Educación Técnico Profesional,http://www.tecnicoprofesional.mineduc.cl/
Educación Superior,https://divesup.mineduc.cl/
Educación de Personas Jóvenes y Adultas,https://epja.mineduc.cl/
Comunidad Educativa,http://www.comunidadescolar.cl
A un Click,#
Acceso,https://acceso.mineduc.cl
Curriculum Nacional,https://www.curriculumnacional.cl/portal/
Biblioteca Digital Escolar,https://bdescolar.mineduc.cl
Convivencia Escolar,http://convivenciaescolar.mineduc.cl
CPEIP,https://www.cpeip.cl
Sustentabilidad y Cambio Climático,https://sustentabilidad.mineduc.cl/
FUAS – Beneficios Estudiantiles,http://fuas.cl
SAE – Sistema de Admisión Escolar,https://www.sistemadeadmisionescolar.cl
Subsecretaría de Educación,https://subeduc.mineduc.cl/
Premios Nacionales 2025,https://premiosnacionales.mineduc.cl/
Manual de normas gráficas,http://kitdigital.gob.cl/
Políticas de privacidad,http://www.mineduc.cl/politicas-privacidad/
Trabaje con nosotros,https://www.mineduc.cl/trabaje-con-nosotros/
Convenio de Instituto Chile 2022,https://www.mineduc.cl/wp-content/uploads/sites/19/2023/01/Convenio_InstitutoChile_2022.pdf
"Aranceles regulados 2024, DEX 59",https://www.mineduc.cl/wp-content/uploads/sites/19/2024/03/DEX-59-2024.pdf
"Aranceles regulados 2024, DEX 489",https://www.mineduc.cl/wp-content/uploads/sites/19/2024/07/DEX-489-modifica-59.pdf
"Aranceles regulados 2024, DEX 597",https://www.mineduc.cl/wp-content/uploads/sites/19/2024/07/DEX-597-2024.pdf
Políticas de Seguridad de la Información del Mineduc,https://www.mineduc.cl/politica-de-seguridad-de-la-informacion-y-organizacion-de-la-seguridad/
Presupuesto Ministerial 2025 - Cifras,https://www.mineduc.cl/wp-content/uploads/sites/19/2025/03/Ley-de-Presupuestos-2025-CIFRAS.pdf
Presupuesto Ministerial 2025,https://www.mineduc.cl/wp-content/uploads/sites/19/2025/03/Ley-de-Presupuestos-2025.pdf
"Presupuesto Ministerial 2024 (Item 11, Presupuesto del órgano y sus modificaciones, año 2024)",https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=AJ001
,https://www.supereduc.cl/
,https://www.mineduc.cl/solicitud-de-patrocinio/
,https://adp.serviciocivil.cl/concursos-spl/opencms
,https://educacionpublica.gob.cl/concursosinternos2024/
,https://educacionpublica.gob.cl/concursosinternos2025/
,https://www.mineduc.cl/informamos-que-la-plataforma-lobby-presenta-inconvenientes-para-solicitar-audiencias-por-favor-escribir-a-lobbymineduc-cl/
,https://www.mineduc.cl/resoluciones-de-calendarios-escolares-regionales-2025/
,https://www.mineduc.cl/codigo-de-etica/?preview=true
,https://www.cpeip.cl/carrera-docente-asignaciones/
,https://www.mineduc.cl/tramites-subsecretaria-de-educacion/
Información Presupuestaria,https://www.mineduc.cl/wp-content/uploads/sites/19/2019/06/Primer-trimestre-2019-MINEDUC.pdf
Gobierno Transparente,https://www.portaltransparencia.cl/PortalPdT/pdtta?codOrganismo=AJ001
Gobierno Transparente,https://www.portaltransparencia.cl/PortalPdT/pdtta?codOrganismo=AJ014
Gobierno Transparante,https://www.portaltransparencia.cl/PortalPdT/pdtta/-/ta/AJ025
Transparencia,https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=AJ001
Ministerio de Educación,https://www.mineduc.cl/
,http://www.facebook.com/mineduc
,http://twitter.com/mineduc
,https://www.instagram.com/mineducchile
,https://www.youtube.com/user/mineducchile
